,Media Sources,Negative,Neutral,Positive,Tweet Polarity,Tweets Ago
0,New York Times,1.0,0.0,0.0,0.0,100
1,Fox,0.839,0.0,0.161,0.3,100
2,BBC,0.566,0.149,0.285,0.6,100
3,CNN,1.0,0.0,0.0,0.0,100
4,CBS,0.83,0.17,0.0,-0.6,100
5,Fox,0.714,0.286,0.0,-0.6,99
6,New York Times,1.0,0.0,0.0,0.0,99
7,BBC,1.0,0.0,0.0,0.0,99
8,CBS,1.0,0.0,0.0,0.0,99
9,CNN,0.892,0.0,0.108,0.3,99
10,BBC,0.897,0.0,0.103,0.3,98
11,CNN,0.686,0.314,0.0,-0.8,98
12,CBS,0.865,0.135,0.0,-0.4,98
13,New York Times,1.0,0.0,0.0,0.0,98
14,Fox,1.0,0.0,0.0,0.0,98
15,CNN,0.758,0.133,0.109,-0.1,97
16,BBC,0.887,0.113,0.0,-0.1,97
17,CBS,1.0,0.0,0.0,0.0,97
18,New York Times,1.0,0.0,0.0,0.0,97
19,Fox,0.806,0.0,0.194,0.5,97
20,CNN,0.882,0.0,0.118,0.3,96
21,CBS,1.0,0.0,0.0,0.0,96
22,BBC,1.0,0.0,0.0,0.0,96
23,Fox,0.876,0.0,0.124,0.2,96
24,New York Times,0.547,0.453,0.0,-0.9,96
25,Fox,0.813,0.187,0.0,-0.3,95
26,CBS,0.85,0.0,0.15,0.3,95
27,BBC,0.807,0.0,0.193,0.5,95
28,New York Times,0.891,0.0,0.109,0.0,95
29,CNN,0.859,0.0,0.141,0.4,95
30,Fox,1.0,0.0,0.0,0.0,94
31,CBS,1.0,0.0,0.0,0.0,94
32,BBC,0.872,0.0,0.128,0.4,94
33,New York Times,0.818,0.082,0.101,0.1,94
34,CNN,0.852,0.0,0.148,0.4,94
35,CBS,0.82,0.0,0.18,0.5,93
36,New York Times,0.579,0.421,0.0,-0.9,93
37,CNN,0.615,0.207,0.179,-0.1,93
38,Fox,0.625,0.375,0.0,-0.7,93
39,BBC,0.856,0.0,0.144,0.5,93
40,New York Times,0.548,0.452,0.0,-0.9,92
41,CNN,0.859,0.0,0.141,0.4,92
42,CBS,0.78,0.112,0.107,-0.0,92
43,Fox,0.506,0.215,0.278,0.2,92
44,BBC,0.618,0.0,0.382,0.9,92
45,BBC,1.0,0.0,0.0,0.0,91
46,CNN,1.0,0.0,0.0,0.0,91
47,New York Times,0.855,0.0,0.145,0.2,91
48,Fox,0.706,0.0,0.294,0.8,91
49,CBS,1.0,0.0,0.0,0.0,91
50,BBC,0.856,0.0,0.144,0.6,90
51,New York Times,0.608,0.392,0.0,-0.7,90
52,Fox,1.0,0.0,0.0,0.0,90
53,CBS,1.0,0.0,0.0,0.0,90
54,CNN,0.843,0.0,0.157,0.4,90
55,Fox,1.0,0.0,0.0,0.0,89
56,BBC,1.0,0.0,0.0,0.0,89
57,CBS,0.905,0.0,0.095,0.2,89
58,New York Times,1.0,0.0,0.0,0.0,89
59,CNN,0.901,0.0,0.099,0.3,89
60,BBC,0.84,0.0,0.16,0.6,88
61,CBS,0.823,0.177,0.0,-0.6,88
62,CNN,1.0,0.0,0.0,0.0,88
63,Fox,0.745,0.0,0.255,0.8,88
64,New York Times,0.84,0.16,0.0,-0.3,88
65,CBS,1.0,0.0,0.0,0.0,87
66,BBC,1.0,0.0,0.0,0.0,87
67,Fox,1.0,0.0,0.0,0.0,87
68,New York Times,0.746,0.0,0.254,0.6,87
69,CNN,0.82,0.0,0.18,0.5,87
70,CNN,0.8,0.095,0.105,0.1,86
71,BBC,1.0,0.0,0.0,0.0,86
72,New York Times,0.773,0.0,0.227,0.5,86
73,Fox,0.566,0.0,0.434,0.6,86
74,CBS,0.868,0.0,0.132,0.4,86
75,CNN,1.0,0.0,0.0,0.0,85
76,New York Times,0.688,0.312,0.0,-0.7,85
77,Fox,1.0,0.0,0.0,0.0,85
78,CBS,1.0,0.0,0.0,0.0,85
79,BBC,1.0,0.0,0.0,0.0,85
80,New York Times,1.0,0.0,0.0,0.0,84
81,CNN,0.769,0.0,0.231,0.7,84
82,BBC,1.0,0.0,0.0,0.0,84
83,Fox,1.0,0.0,0.0,0.0,84
84,CBS,1.0,0.0,0.0,0.0,84
85,BBC,0.804,0.196,0.0,-0.6,83
86,CNN,1.0,0.0,0.0,0.0,83
87,CBS,0.749,0.07,0.181,0.4,83
88,New York Times,0.8,0.2,0.0,-0.6,83
89,Fox,1.0,0.0,0.0,0.0,83
90,Fox,0.667,0.0,0.333,0.4,82
91,BBC,1.0,0.0,0.0,0.0,82
92,CBS,1.0,0.0,0.0,0.0,82
93,CNN,1.0,0.0,0.0,0.0,82
94,New York Times,0.851,0.149,0.0,-0.1,82
95,BBC,0.566,0.434,0.0,-0.8,81
96,CBS,0.659,0.217,0.124,-0.3,81
97,Fox,1.0,0.0,0.0,0.0,81
98,New York Times,0.741,0.0,0.259,0.5,81
99,CNN,0.731,0.0,0.269,0.8,81
100,Fox,1.0,0.0,0.0,0.0,80
101,New York Times,1.0,0.0,0.0,0.0,80
102,CNN,0.703,0.168,0.129,-0.2,80
103,CBS,0.579,0.0,0.421,0.9,80
104,BBC,1.0,0.0,0.0,0.0,80
105,New York Times,0.766,0.106,0.127,0.1,79
106,CNN,0.823,0.177,0.0,-0.4,79
107,BBC,0.856,0.0,0.144,0.4,79
108,Fox,0.806,0.194,0.0,-0.3,79
109,CBS,0.776,0.11,0.114,0.0,79
110,New York Times,1.0,0.0,0.0,0.0,78
111,Fox,1.0,0.0,0.0,0.0,78
112,CNN,0.812,0.188,0.0,-0.6,78
113,CBS,0.87,0.0,0.13,0.4,78
114,BBC,0.811,0.0,0.189,0.5,78
115,CNN,0.686,0.245,0.069,-0.6,77
116,CBS,0.857,0.143,0.0,-0.5,77
117,Fox,0.657,0.343,0.0,-0.6,77
118,BBC,1.0,0.0,0.0,0.0,77
119,New York Times,0.895,0.105,0.0,-0.3,77
120,Fox,0.852,0.0,0.148,0.4,76
121,CBS,0.857,0.143,0.0,-0.5,76
122,BBC,1.0,0.0,0.0,0.0,76
123,CNN,1.0,0.0,0.0,0.0,76
124,New York Times,1.0,0.0,0.0,0.0,76
125,Fox,0.806,0.0,0.194,0.3,75
126,BBC,1.0,0.0,0.0,0.0,75
127,CBS,0.79,0.0,0.21,0.5,75
128,New York Times,0.9,0.1,0.0,-0.3,75
129,CNN,0.905,0.0,0.095,0.2,75
130,CBS,1.0,0.0,0.0,0.0,74
131,BBC,0.872,0.0,0.128,0.3,74
132,Fox,0.769,0.108,0.123,0.1,74
133,New York Times,0.859,0.141,0.0,-0.4,74
134,CNN,0.707,0.131,0.162,0.2,74
135,CNN,1.0,0.0,0.0,0.0,73
136,CBS,0.643,0.096,0.26,0.6,73
137,BBC,0.752,0.0,0.248,0.7,73
138,New York Times,1.0,0.0,0.0,0.0,73
139,Fox,0.753,0.247,0.0,-0.3,73
140,CNN,0.667,0.156,0.178,0.1,72
141,Fox,0.828,0.172,0.0,-0.4,72
142,CBS,0.602,0.329,0.069,-0.8,72
143,BBC,0.865,0.135,0.0,-0.4,72
144,New York Times,0.865,0.135,0.0,-0.4,72
145,BBC,0.756,0.0,0.244,0.6,71
146,New York Times,0.714,0.151,0.134,-0.1,71
147,Fox,0.654,0.17,0.176,0.0,71
148,CBS,1.0,0.0,0.0,0.0,71
149,CNN,0.827,0.173,0.0,-0.3,71
150,Fox,0.743,0.095,0.162,0.2,70
151,CBS,0.816,0.184,0.0,-0.4,70
152,New York Times,0.68,0.18,0.141,-0.2,70
153,CNN,0.899,0.101,0.0,-0.2,70
154,BBC,0.8,0.0,0.2,0.7,70
155,CBS,1.0,0.0,0.0,0.0,69
156,New York Times,0.817,0.0,0.183,0.6,69
157,CNN,0.795,0.205,0.0,-0.6,69
158,Fox,1.0,0.0,0.0,0.0,69
159,BBC,1.0,0.0,0.0,0.0,69
160,BBC,0.838,0.162,0.0,-0.5,68
161,CBS,0.69,0.31,0.0,-0.8,68
162,Fox,0.812,0.188,0.0,-0.6,68
163,CNN,1.0,0.0,0.0,0.0,68
164,New York Times,0.845,0.155,0.0,-0.5,68
165,Fox,1.0,0.0,0.0,0.0,67
166,CBS,1.0,0.0,0.0,0.0,67
167,New York Times,0.838,0.162,0.0,-0.5,67
168,CNN,1.0,0.0,0.0,0.0,67
169,BBC,0.812,0.0,0.188,0.5,67
170,CNN,1.0,0.0,0.0,0.0,66
171,CBS,0.861,0.0,0.139,0.4,66
172,Fox,1.0,0.0,0.0,0.0,66
173,BBC,0.806,0.0,0.194,0.6,66
174,New York Times,0.594,0.183,0.223,-0.1,66
175,CNN,0.586,0.19,0.224,0.2,65
176,New York Times,1.0,0.0,0.0,0.0,65
177,BBC,1.0,0.0,0.0,0.0,65
178,CBS,0.785,0.215,0.0,-0.6,65
179,Fox,0.929,0.0,0.071,0.2,65
180,CBS,0.717,0.283,0.0,-0.7,64
181,New York Times,0.668,0.239,0.093,-0.6,64
182,Fox,0.613,0.0,0.387,0.7,64
183,CNN,1.0,0.0,0.0,0.0,64
184,BBC,0.845,0.155,0.0,-0.4,64
185,BBC,1.0,0.0,0.0,0.0,63
186,CNN,0.824,0.176,0.0,-0.5,63
187,CBS,0.852,0.0,0.148,0.5,63
188,New York Times,0.824,0.176,0.0,-0.7,63
189,Fox,1.0,0.0,0.0,0.0,63
190,CNN,0.902,0.098,0.0,-0.1,62
191,CBS,1.0,0.0,0.0,0.0,62
192,BBC,0.806,0.194,0.0,-0.6,62
193,Fox,0.549,0.451,0.0,-0.6,62
194,New York Times,0.854,0.146,0.0,-0.4,62
195,CNN,1.0,0.0,0.0,0.0,61
196,BBC,0.571,0.0,0.429,0.8,61
197,CBS,0.703,0.102,0.195,0.3,61
198,Fox,1.0,0.0,0.0,0.0,61
199,New York Times,1.0,0.0,0.0,0.0,61
200,Fox,0.773,0.0,0.227,0.4,60
